Using GPU 3
x: torch.Size([128, 68]), edge_index: torch.Size([2, 103]) edge_attr:  torch.Size([103, 1]) y:  tensor(437.0052)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 94]) edge_attr:  torch.Size([94, 1]) y:  tensor(90.5925)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(5.1430)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 111]) edge_attr:  torch.Size([111, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 120]) edge_attr:  torch.Size([120, 1]) y:  tensor(516.8323)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 113]) edge_attr:  torch.Size([113, 1]) y:  tensor(316.6923)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 99]) edge_attr:  torch.Size([99, 1]) y:  tensor(645.8887)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 128]) edge_attr:  torch.Size([128, 1]) y:  tensor(9719.6865)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 113]) edge_attr:  torch.Size([113, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 134]) edge_attr:  torch.Size([134, 1]) y:  tensor(5694.8369)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 105]) edge_attr:  torch.Size([105, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 134]) edge_attr:  torch.Size([134, 1]) y:  tensor(5950.7227)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(11676.4199)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 104]) edge_attr:  torch.Size([104, 1]) y:  tensor(8756.4766)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(10234.9658)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(33375.8203)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 135]) edge_attr:  torch.Size([135, 1]) y:  tensor(18466.0840)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 107]) edge_attr:  torch.Size([107, 1]) y:  tensor(46727.6875)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 106]) edge_attr:  torch.Size([106, 1]) y:  tensor(23476.1191)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(61.5540)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 117]) edge_attr:  torch.Size([117, 1]) y:  tensor(23886.8242)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 136]) edge_attr:  torch.Size([136, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(10796.0068)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 110]) edge_attr:  torch.Size([110, 1]) y:  tensor(22392.0605)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 106]) edge_attr:  torch.Size([106, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 96]) edge_attr:  torch.Size([96, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(11972.6494)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(10919.3672)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(387.5174)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 106]) edge_attr:  torch.Size([106, 1]) y:  tensor(1230.3163)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 107]) edge_attr:  torch.Size([107, 1]) y:  tensor(43.5555)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 124]) edge_attr:  torch.Size([124, 1]) y:  tensor(419.2114)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 127]) edge_attr:  torch.Size([127, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 142]) edge_attr:  torch.Size([142, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 103]) edge_attr:  torch.Size([103, 1]) y:  tensor(5976.0977)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(597.4448)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 139]) edge_attr:  torch.Size([139, 1]) y:  tensor(15325.5781)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 103]) edge_attr:  torch.Size([103, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 134]) edge_attr:  torch.Size([134, 1]) y:  tensor(5904.4106)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 131]) edge_attr:  torch.Size([131, 1]) y:  tensor(472.7171)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(1465.8873)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(10534.5752)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 94]) edge_attr:  torch.Size([94, 1]) y:  tensor(2831.8252)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 120]) edge_attr:  torch.Size([120, 1]) y:  tensor(11802.6338)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 106]) edge_attr:  torch.Size([106, 1]) y:  tensor(149.0346)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 112]) edge_attr:  torch.Size([112, 1]) y:  tensor(5505.8652)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 119]) edge_attr:  torch.Size([119, 1]) y:  tensor(12.4017)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 123]) edge_attr:  torch.Size([123, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 108]) edge_attr:  torch.Size([108, 1]) y:  tensor(101.8863)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 106]) edge_attr:  torch.Size([106, 1]) y:  tensor(8157.4233)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(14285.3535)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(4272.2251)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 94]) edge_attr:  torch.Size([94, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 135]) edge_attr:  torch.Size([135, 1]) y:  tensor(338.1875)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 113]) edge_attr:  torch.Size([113, 1]) y:  tensor(43182.1797)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 107]) edge_attr:  torch.Size([107, 1]) y:  tensor(11190.9951)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(6186.1890)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(13317.2051)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 117]) edge_attr:  torch.Size([117, 1]) y:  tensor(631.7870)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 82]) edge_attr:  torch.Size([82, 1]) y:  tensor(451.7248)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 130]) edge_attr:  torch.Size([130, 1]) y:  tensor(9551.1963)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(34020.4023)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(28972.8770)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 119]) edge_attr:  torch.Size([119, 1]) y:  tensor(2181.4666)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(2506.4490)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 110]) edge_attr:  torch.Size([110, 1]) y:  tensor(13596.4912)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 112]) edge_attr:  torch.Size([112, 1]) y:  tensor(28558.8789)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 141]) edge_attr:  torch.Size([141, 1]) y:  tensor(6944.5229)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 136]) edge_attr:  torch.Size([136, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(30756.0215)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 136]) edge_attr:  torch.Size([136, 1]) y:  tensor(15.4647)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 134]) edge_attr:  torch.Size([134, 1]) y:  tensor(147.5166)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 97]) edge_attr:  torch.Size([97, 1]) y:  tensor(4427.7080)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 122]) edge_attr:  torch.Size([122, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 136]) edge_attr:  torch.Size([136, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 123]) edge_attr:  torch.Size([123, 1]) y:  tensor(487.6398)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 128]) edge_attr:  torch.Size([128, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 122]) edge_attr:  torch.Size([122, 1]) y:  tensor(4918.6357)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 128]) edge_attr:  torch.Size([128, 1]) y:  tensor(10588.1904)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(19075.1582)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 139]) edge_attr:  torch.Size([139, 1]) y:  tensor(49058.0273)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 111]) edge_attr:  torch.Size([111, 1]) y:  tensor(17176.8535)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 115]) edge_attr:  torch.Size([115, 1]) y:  tensor(207.6082)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(40.9182)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 99]) edge_attr:  torch.Size([99, 1]) y:  tensor(262.3990)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 124]) edge_attr:  torch.Size([124, 1]) y:  tensor(326.8847)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 93]) edge_attr:  torch.Size([93, 1]) y:  tensor(23.5219)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 122]) edge_attr:  torch.Size([122, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 136]) edge_attr:  torch.Size([136, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(25715.4727)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 122]) edge_attr:  torch.Size([122, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 116]) edge_attr:  torch.Size([116, 1]) y:  tensor(2237.2146)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 126]) edge_attr:  torch.Size([126, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 113]) edge_attr:  torch.Size([113, 1]) y:  tensor(20.3522)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 117]) edge_attr:  torch.Size([117, 1]) y:  tensor(443.5324)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 129]) edge_attr:  torch.Size([129, 1]) y:  tensor(22430.6113)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 124]) edge_attr:  torch.Size([124, 1]) y:  tensor(1565.9393)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 117]) edge_attr:  torch.Size([117, 1]) y:  tensor(40835.6953)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 91]) edge_attr:  torch.Size([91, 1]) y:  tensor(74.1533)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(27.8062)
